"","0","0 | 1","0 | 2","0 | 3","0 | 4","0 | 5","0 | 6","0 | 7","0 | 8","2400","2400 | 1","2400 | 2","2400 | 3","2400 | 4","2400 | 5","2400 | 6","2400 | 7","2400 | 8"
"nemA",615.61,584.36,578.79,430.34,415.45,348.77,501.2,586.06,567.56,274.62,337.79,287.28,250.31,302.33,313.92,304.29,309.19,320.25
"rhtB",372.65,387.99,390.09,394.68,418.88,569.51,418.96,421.14,316.23,376.71,377.01,288.24,603.74,389.38,377.59,394.4,465.18,430.49
"rmf",278,275.72,275.08,422.3,363.12,310.12,320.94,412.96,454.31,453.77,729.4,307.04,906.4,1167.03,1271.22,579.94,1029.6,701.46
"ydjK",358.34,381.52,341.54,500.02,494.04,435.83,429.76,435.41,341.86,533.17,441.63,463.13,436.57,444.51,450.41,456.27,433.07,483.46
"eaeH",71.12,75.24,57.21,93.15,102.44,106.26,84.6,78.56,73.43,81.02,75.47,87.29,75.31,65.06,70.46,70.45,75.48,72.13
"fdhD",1749.1,2261.81,1832.42,2476.9,2508.92,2521.54,2225.44,2325.05,1784.94,2477.86,2817.4,2058.94,2339.02,2371.92,2607.46,2892.29,3241.93,2942.42
"ftnB",399.64,387.56,391.96,439.58,385.57,327.29,359.07,337.11,332.63,418.82,694.11,407.11,687.54,659.28,600.84,522.6,435.5,486.65
"ebgR",430.37,393.61,425.04,445.69,432.54,397.68,406.37,424.04,429.94,509.47,458.51,383.69,498.87,571.92,557.14,475.63,419.43,427.28
"ydjH",258.39,243.34,172.67,258.23,335.58,356.83,258.24,200.93,187.69,258.21,409.48,258.36,250.66,196.76,279.85,289.18,359.49,271.59
"hinT",931.44,945.61,989.62,653.75,631.96,617.53,960.14,898.61,970.67,818.86,991.36,811.79,1003.43,1033.71,1087.69,784.7,818.79,750.79
"hxpB",601.6,569.37,497.05,353.26,377.59,315.7,394.8,401.43,408.52,411.79,410.83,595.46,441.19,423.26,441.35,409.23,499.21,362.58
"cynX",154.95,152.05,159.41,215.32,218.03,213.6,198.13,193.13,161.65,172.14,137.43,134.26,179.8,162.26,155.52,167.23,157.63,153.45
