"","900","900 | 1","900 | 2","900 | 3","900 | 4","900 | 5","900 | 6","900 | 7","900 | 8","0","0 | 1","0 | 2"
"lpoA",1366.953,1155.83,1391.893,2726.802,1289.286,1809.942,538.4105,499.5304,420.0337,787.2205,866.4523,1035.622
"dmlR",572.6929,536.7488,655.4445,114.4619,59.92784,122.8309,184.7109,104.6896,179.9266,740.561,320.5571,494.5102
"pinE",4.879437,21.48901,19.34594,41.97937,3.019173,17.65759,26.21552,38.84275,55.11439,2.614129,18.98048,10.69336
"carA",1169.397,1775.593,1186.566,84.09679,326.479,19.6017,500.8004,862.8723,925.6053,76.06176,447.1206,114.5031
"dapA",5738.737,4256.024,4723.191,2949.378,1327.003,2362.112,4081.332,4865.927,4813.909,4071.804,3014.415,3858.038
"mzrA",1130.012,1496.03,1333.971,1162.538,935.2618,958.0693,2280.058,2938.28,3092.841,1460.738,742.7109,933.804
"bglA",2785.253,2994.63,2839.708,8471.134,5713.165,7141.027,957.7366,1186.339,786.1943,2123.125,2087.615,2448.528
"xdhB",90.8404,65.96617,79.96179,94.36814,85.89382,110.2374,88.31077,55.16519,61.09225,119.8342,96.3422,192.8354
"rep",267.8912,307.2436,318.8496,195.859,272.3518,228.6902,401.0945,563.9315,457.2031,269.0846,95.64158,165.6763
"nadB",42.21295,54.47855,53.32924,67.32654,85.92673,101.8819,31.63981,21.91041,13.56349,52.27544,11.32742,36.70122
