"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"srmB",262427,106923,205300,24903,898709,213705,547567,73657,384615,97240,42628,9415,983578,248369,182852,23229,1677232,401592,445043,148210,513674,103116,595289,296623,760173,183398,236428,199059,1005519,202201,452772,192553,486184,288269
"ygaY",114709,23645,203000,82530,79133,22397,52314,11744,65055,13259,35599,8625,52803,15043,165980,50669,114542,23977,110868,23891,92035,17074,99118,26401,59029,21610,85497,56224,102970,36376,92862,43821,100398,41015
"mazG",343430,65623,189995,53862,479122,54962,301051,50333,191795,37595,168233,32335,269273,84248,45632,12840,800949,336252,874171,179328,453656,135416,694953,101767,245368,177309,400030,125175,499849,363219,529192,135833,280030,241924
"purC",555998,133505,180861,41619,698605,31808,114093,63450,252883,155029,48880,10614,1274364,128317,45957,9983,2448142,504160,180845,101547,506739,20072,644253,163176,920681,226062,560733,296038,1576997,399500,906570,511297,1018821,381955
"rseA",4910195,2018567,2984224,802107,4562665,4231099,3669960,506526,2852444,4805094,399183,27170,4259775,883796,105911,32501,4784055,3076119,5533664,1601623,5213006,2393833,4635621,4656640,6216685,1639577,5598485,7265776,13700000,4499408,6702770,9468896,13100000,2481875
"proV",184903,35410,100216,17927,180533,29429,127667,18942,159345,43063,93211,15483,140619,22491,69050,12779,332761,69779,191592,26037,198374,23727,195056,30285,151278,24121,140885,84464,239885,92115,154479,50927,179994,72721
"queE",274637,49319,87539,16823,214394,68891,313266,21717,231217,116813,57464,6609,229388,19996,235545,85931,985417,112852,356458,34470,207846,52472,279618,85771,322484,62701,216399,125501,943453,153549,319736,192697,460642,139307
"dapE",404491,99153,118286,26486,299199,33592,143401,23529,270904,69996,73812,11414,69182,23932,78644,25708,618943,143881,466593,29389,319927,100783,448099,79859,240673,70528,258223,102742,532858,134202,578665,170841,515256,213220
"lepB",1192099,323710,483973,119856,824281,135006,442473,48641,823442,574823,47059,6697,83670,28446,48252,14718,2188413,421470,831576,192151,844069,165431,943491,165600,774638,283792,787421,328171,1627565,553378,788608,501665,1178182,353991
"nrdH",756371,504736,744747,235857,1077275,184840,223329,470994,1366587,229336,304068,295126,341438,572071,969540,942402,4927345,754349,486280,219283,583430,166432,470815,123204,178529,418505,265889,138689,325487,393382,332165,201665,395655,352769
"aegA",135220,27000,98315,25428,110297,25129,81769,27159,95202,19875,75128,31050,67678,25068,523318,174342,243887,52775,161619,23442,135070,20571,159460,37869,95345,27834,166490,74125,146684,67467,128587,44847,200722,121171
"pdxJ",1316058,252774,559204,187425,948427,200749,472030,350641,734069,249443,585563,144175,705874,343398,718830,122424,1024991,478077,652950,187662,825164,218608,1403346,349062,590535,318500,896219,257803,1043503,741462,1266025,392209,803514,833168
"stpA",376127,189486,329559,40120,427097,209186,464972,118184,560055,325017,424881,75103,852905,285905,472168,83752,929193,411468,306421,64350,259542,52580,331877,115391,271741,81812,284275,173855,562404,212582,471108,110006,311008,449450
"ygcQ",567571,116648,384008,124894,334641,93047,302832,109751,437759,106582,234247,31875,172447,62961,276228,62339,733418,179675,516076,39544,584953,162256,722051,218842,307691,83250,298129,184968,410275,179068,240727,96171,347860,180058
"xerD",418704,157140,213499,34894,284535,218759,450092,60702,371689,229956,48161,10140,556654,127237,220526,95342,888677,146732,273576,63511,220820,51608,299242,124080,303028,107158,294957,273684,825533,212989,336059,256573,530401,257877
"hybC",254698,64510,184153,79067,198182,60430,170875,42521,221220,85362,95986,13841,164222,50435,108772,20032,402065,177826,224851,61959,231970,42006,354755,128637,210534,83161,162451,100193,529266,208982,254469,112185,339783,167212
"uxaC",404801,68769,151914,37950,300170,72918,232598,55900,179171,48587,57430,7813,302587,88796,151566,47608,916635,224058,461900,105099,419458,107401,525564,102677,301904,149874,394928,168002,743786,316545,688205,257460,689077,332006
"mlaC",920666,163164,485196,157374,845386,179901,1281970,1257667,404291,143870,98999,13763,827448,172966,89205,13809,1557151,442262,741952,148863,689715,180233,1295552,307690,566662,315252,802917,316212,1181111,554408,812966,345986,782750,358642
"lysS",566880,181110,626102,96202,1233889,282861,834133,204511,545246,263912,54838,7736,2067279,325956,55825,13493,2584952,738075,726578,359483,970104,173722,1596805,480069,1193054,475052,732095,487517,2431608,689107,963137,534474,1217632,544973
"yghU",1247856,181184,777993,177642,1522834,308255,1097925,207259,506875,176210,66628,12493,864781,225337,268278,88551,1791808,648236,1838327,537355,1354321,351877,2162180,381706,1006653,445049,1297351,446265,2546509,1002740,2252500,683657,1353081,902174
"ygjV",281316,78113,179478,35365,206371,38886,174253,34493,172440,49153,65609,12294,134347,39416,63735,17314,408752,148014,281217,35257,241288,47619,242165,42448,150347,46450,152342,75724,213085,100862,187694,58796,189342,92754
"sfsB",251453,66894,131989,27124,204318,38606,215184,30290,179509,65150,102746,18648,400919,42114,103331,30649,661849,207930,292289,88845,261133,47263,455936,123116,299858,88014,187505,122096,1178204,269177,625883,248592,672966,465122
"ygfS",387446,72438,67792,15239,235260,39447,263512,27590,197232,80152,149676,15620,546114,82912,132327,37570,1038964,262524,583562,144519,214691,35828,757534,123936,461111,166017,334532,161106,1110520,339839,456750,233849,841469,321468
"yghS",267025,40458,132671,28537,161881,33114,129875,15699,297971,56269,132770,19177,237218,35696,159880,28178,608273,175455,324837,91491,156723,18649,533704,64197,211198,91258,293532,101038,686549,244700,366665,188103,624398,216949
"ygjQ",121730,28384,78540,15166,89513,24422,65559,14323,188632,60300,57668,6726,68761,14598,206568,53374,202234,35760,164387,15013,93063,14713,115162,17438,77520,16374,177079,81335,159779,46883,206061,70332,157836,69915
"yhbE",954704,260629,569669,114003,816477,115883,372449,58337,753078,301298,75090,10727,244050,57716,253367,53216,1277977,390236,633720,224082,610681,115504,781243,161298,686517,201395,373388,187824,1270824,258405,724071,329759,608554,292114
"xanQ",199539,69914,128218,20915,144793,64367,127837,42821,177468,52900,92144,34793,94379,60091,117335,23087,228310,63217,222553,29445,127453,30412,179701,41317,103031,67866,127741,57700,176498,106935,128699,44609,169729,108782
"glcC",3581546,408807,650717,496520,699326,143370,292360,257459,632261,250582,468203,110191,721767,341686,1169180,270119,2090877,939498,2214535,633825,1910902,644789,3754484,204670,357066,1848825,1672971,198431,676508,1530324,746223,496556,935753,582875
"higA",157068,42257,90159,21825,101013,36019,76755,32916,96894,27385,183229,26740,76023,42368,156378,35695,170682,47168,194894,34059,118980,31535,144425,38198,65673,27337,112951,64381,154367,77805,178557,86014,146526,111766
"yhbY",1363949,493521,956111,215545,1064300,392515,571882,314146,1172676,447283,1024521,307628,1264767,720014,1124840,368959,2749910,883280,1392787,540814,1388679,399180,1498571,527827,910294,451870,1244392,711003,2537490,1062916,3156909,1276217,2255539,2015048
"ygfK",181352,25084,152601,27442,101134,20022,107425,23642,124101,21408,67883,11990,51514,15088,82290,10658,212185,40784,194305,23760,148178,26498,169915,35389,164703,45611,149322,68665,190858,73274,138570,44052,134180,35877
"glcB",2285969,522547,734763,190775,1133415,172802,456240,272374,905659,160783,555573,256591,683141,558973,922419,57825,709683,624463,1808567,533436,2133872,520579,1963310,405232,996905,608903,1255502,297624,1286835,1156204,1435222,142420,413850,928918
"ygjI",230524,22993,114713,23229,139696,21604,96738,28187,134199,26484,73770,11670,61383,13063,111287,18130,247292,46506,226206,33847,175901,28246,308341,28659,114036,59709,204424,72938,221671,139570,147245,66881,210735,78194
"glmM",1662995,92087,1049021,49997,1194699,60086,852234,65570,1067380,82095,707093,9288,813197,79571,939524,52685,2582182,172641,1958638,107851,1661478,50703,1992537,144494,1298992,129640,630620,132880,1226218,229653,829817,171813,1095766,192984
"yqeA",229591,42580,113665,26958,145125,28441,116072,19763,132038,21754,56887,6094,106402,31231,192823,36884,340990,59211,265001,34177,190649,38625,235963,57856,141770,36276,159741,31274,267911,82469,190988,72461,244189,97623
"pppA",116019,19403,84338,17395,109588,21643,353915,201753,103430,19937,45353,7572,62132,17642,54662,13392,173915,31732,112333,18193,104454,14559,116545,30404,133648,36983,91423,44767,168083,45296,110471,33268,141803,49427
"ygjH",172787,21523,133425,36219,108659,17698,106828,30317,505551,104479,65384,8621,68871,16965,112778,32907,264158,61751,207327,22965,177318,33823,212084,40536,115839,24291,153195,45758,149299,52531,125322,45730,210279,56030
"rimP",1256641,337853,2213179,688243,2759066,828101,3232588,670837,2434281,1283811,194041,23587,2144071,581656,215349,55823,3963271,1326986,1478005,450264,1362766,308397,2824146,1109430,1837429,502240,1686492,1108846,4772455,1264687,2383639,1038103,2875420,1559661
"rpsD",4974096,3995957,3416352,1223572,3473355,3226547,4657328,2460634,4519423,3224389,295787,33695,4259775,4493121,229764,57254,7049465,6298534,5111730,4289313,6498447,5084478,6213644,3781899,4718520,6107217,17200000,10500000,16400000,17400000,1.6e+07,17500000,16800000,12700000
"hofQ",317474,69153,344913,125624,151342,48918,187863,31423,203333,58708,89141,12537,125513,35598,254382,73242,476129,129607,243588,39093,228555,31631,328080,56698,137364,30508,185775,48131,306296,106878,187410,71682,282444,95125
"yhiM",210436,38714,89435,20495,116477,22876,120817,21989,143987,37170,54779,7614,127624,22106,77273,22363,270542,70669,191730,25052,115660,19350,198743,30484,104226,28895,234785,100942,897592,253652,442835,205798,487960,120027
"selA",546125,143955,240752,48647,515641,72027,264017,52230,436698,189550,126850,16759,476121,91191,154400,22837,1191785,293903,465907,132831,461912,82584,550502,100571,354211,144445,291104,141630,726311,212902,494464,253445,549576,230022
"zntR",581105,120880,148170,36923,339180,78068,219882,24357,397426,199785,61965,7960,346842,43555,64424,13970,669360,213867,433191,71133,286655,75767,396978,54518,253347,91718,331970,156377,664525,199070,415049,147913,336649,166401
"dam",1376107,496543,970435,197190,1402239,223984,765031,115854,1441671,694213,87333,10495,1420647,281051,83265,11507,2651250,784590,1238349,392510,885036,219458,1151654,370912,813611,417493,1470478,836703,3791310,1136588,2435740,797410,1473353,1036492
"yhiI",291750,60199,151704,34842,212975,69336,132970,72515,262819,58306,163714,39354,159128,82503,228790,44267,382582,126227,345714,45362,249979,46488,349142,62187,169790,93053,273562,98176,306300,137214,365109,114444,325063,195940
"yiaW",162047,39384,122147,32540,101024,43020,91891,20870,152255,33403,63561,10858,59580,23863,150428,31467,236092,48057,197846,26729,145726,21587,162040,40699,86258,29110,117419,71291,125810,62639,120233,39689,141694,77526
"fmt",880286,286773,612708,144894,868013,351986,720177,285074,812708,256163,488194,144779,702013,373311,508953,122208,941605,347102,758795,215101,684696,226030,841369,252797,513648,366603,390301,200741,836954,346522,647602,278405,531748,460620
"yhfY",194339,26459,105932,26642,101543,27550,94745,26017,117262,22715,71586,10554,69613,24291,87431,20129,193432,42967,215255,33362,176110,37063,193256,27996,112833,35509,127412,51325,150615,54357,139864,45258,177471,74754
"rhsB",1162199,112642,128160,21645,136684,23416,127473,27612,153475,55611,120417,20416,125086,40937,139812,30212,363343,58607,252631,32972,198747,31061,332443,43818,165972,47387,136540,48791,247657,87494,184082,68003,264676,114936
"sgbE",151341,29550,80608,18612,99698,24493,70848,18886,97288,17180,78687,15545,53064,17235,82767,18422,229362,29041,152103,21396,122498,18502,152325,22873,106539,32083,208229,80674,203864,76776,177067,74346,243418,82241
"smg",4258303,1162926,1442579,607033,3142089,1164652,2593504,765493,2469879,1028731,2976767,761558,3248467,1277509,2357953,685459,3966713,2188436,4266130,1165433,3402534,1513216,4086897,958333,1991268,1951701,3971947,1600240,5205702,3579550,3597286,2618812,4472824,2746391
"yhfU",223350,30797,139262,21086,163927,32853,107618,18196,154173,29455,151500,45587,72627,13462,106388,22070,213503,43435,207008,30250,150531,22964,178455,25881,100727,28192,250636,60725,173041,63007,152062,41833,215811,71205
"yiaO",352143,64779,401549,208909,212983,49154,545633,300535,294088,99155,257780,38266,372300,140835,204284,56153,615563,232548,441372,118472,325125,74036,3365437,1279400,281967,93962,366527,191465,2478552,1072719,581463,257983,1001340,425082
"yrdB",244869,33766,225810,41579,254164,44593,291148,145760,200020,47190,92704,8578,188743,43867,89106,10611,567827,180035,307814,59075,230154,57010,369074,88551,238493,65215,273269,98605,578560,195054,354178,105000,398175,153440
"frlD",176084,33217,124991,20844,126526,22717,138232,70694,334589,109222,75121,9567,88397,21581,97352,22271,269500,51712,231609,52722,190222,27156,230439,53886,141493,41364,166252,62986,267317,103257,196238,63602,216962,72286
"acpT",575673,196758,360638,59003,478375,156030,663334,57318,506886,121981,70758,8755,247906,79104,68116,13533,735392,243616,338660,51890,317669,84721,440696,113031,330339,116247,412600,214769,827749,300495,545070,158748,378174,270817
"yiaK",328349,34890,235975,58970,186226,41459,186807,55918,223640,79632,128140,11629,134608,42172,61730,13602,394881,103550,251674,32487,214503,40036,352209,61354,154936,45013,200217,69701,205776,91902,142446,58149,229463,77039
"yhdX",138113,49121,87003,16373,88960,24475,96615,9629,177651,26647,26589,6491,53066,16039,167004,54667,169869,24346,109437,23746,79313,12740,89046,24189,76892,18229,107684,44308,188260,40790,66274,58797,189985,41994
"frlA",141252,24777,71527,18082,78855,18766,59539,12606,98123,16356,41428,8624,46419,10298,241258,63306,143253,26566,157242,18467,123407,15389,120299,18345,81932,19990,76996,43822,150972,39065,119027,36244,120643,47886
"yhhQ",228970,82420,115450,16571,222359,55886,149040,17842,305747,112537,73858,6774,331050,39382,79230,10068,752154,86244,325578,29897,206494,40741,222572,56754,333144,40554,321484,243270,1111605,83201,347401,192707,514160,102215
"malS",222456,52910,161380,23798,146125,19804,106802,25654,203510,40516,59393,8210,91599,21075,76435,15327,296188,61298,231406,27634,154426,23531,222159,32608,121622,40068,142205,50136,280145,75317,536856,214595,236472,110641
"yidR",237919,39029,146482,41171,147101,46495,153185,77050,158882,43043,118269,13937,127814,39014,136894,38664,345835,85914,264319,33078,220164,49757,209739,47497,132568,57389,78640,50670,141314,57799,110772,57060,132348,59058
"wzxE",750663,268169,602760,216307,644989,375540,527025,328619,834657,246114,360777,101530,416491,229720,449596,133790,944297,364618,486381,174504,460401,148247,854457,304211,398190,306058,139882,96813,768831,478099,675446,344850,616673,491641
"frvB",174963,42299,123715,33469,109807,27178,119383,49120,128200,38775,93017,13602,72808,28851,69699,20714,285839,35934,162237,28762,126844,20189,169205,59428,103720,27227,156902,90113,241941,71223,191327,84098,266207,96529
"zraR",636816,123008,464469,102637,472140,150676,433264,156731,559551,129954,192509,42515,152697,49796,200837,53987,588541,127042,442787,100793,379928,73713,409787,89411,291910,73858,153698,85186,255022,75817,181047,81198,180164,79224
"yidE",699370,158994,399339,101007,626880,182388,502247,163638,464103,204041,292529,71785,636443,231362,335386,77085,874267,290284,425281,83786,418786,93853,859793,146115,314195,157594,422426,220065,1631639,576638,1259551,577473,1405562,886212
"rffG",521143,114745,258722,74991,312841,59381,179545,67378,317538,163554,304779,44751,329274,104814,246974,55653,508259,166153,306446,80536,288840,73746,475134,131775,252781,111975,335172,153527,565665,270382,459158,255362,530106,313458
